j,x1,x2,x3,v1,v2,v3
4,0.4137573065804679,-0.1131994513543708,1.421169072456232,-1.036690576909812,-0.01784717470772691,0.816695633238353
5,0.4264707850761545,0.1077585541828248,1.462833426260938,0.7643128557003917,-0.6332921142097004,0.934054109015006
6,0.393796852474921,0.1739269323867332,1.482352163109183,0.3707845305423759,-0.827948862760422,0.967294423724431
7,0.3649412794817202,0.2058148072906605,1.491455398162756,-0.518239248506513,-0.6308116885681746,0.982049965542044
8,0.3444385973547841,0.2299758454105376,1.495799021129737,-0.04366833459646337,0.7677813742790337,0.991957590734035
9,0.3407406382983991,0.2386388589951507,1.497922884958026,-0.7723712159306472,-0.0949238629301404,0.995565427335909
10,0.3368504258447818,0.2458400706192614,1.498966728500728,0.7691768729097248,0.142404496666087,0.998309375171085
11,0.335043699865518,0.2479076715394912,1.49948472329532,0.7334531097664096,0.2638866654688121,0.99915273675108
12,0.334138434260635,0.2489254932865628,1.499742702378167,0.6120708293021902,0.4804133107543117,0.999567449506476
13,0.3337036843253406,0.2494134353330919,1.499871436524116,0.2054188510771585,0.7498545247766365,0.999767410361374
14,0.3335390886599177,0.2496541440869841,1.499935739952327,-0.6573025569020428,0.4154258326549841,0.999866208609263
15,0.333470684321014,0.2498566773859353,1.499967874761551,0.3122496918960056,-0.7128415101216432,0.999942986485765
